Year,New England ,Pittsburgh,Jacksonville,Kansas City,Philadelphia,Minnesota,New Orleans,Los Angeles
2017,0.81,0.81,0.63,0.63,0.81,0.81,0.69,0.69
2016,0.88,0.69,0.19,0.75,0.44,0.5,0.44,0.25
2015,0.75,0.63,0.31,0.69,0.44,0.69,0.44,0.44
2014,0.75,0.69,0.19,0.56,0.63,0.44,0.44,0.38
2013,0.75,0.5,0.25,0.69,0.63,0.31,0.69,0.44
2012,0.75,0.5,0.13,0.13,0.25,0.63,0.44,0.44
2011,0.81,0.75,0.31,0.44,0.5,0.19,0.81,0.13
2010,0.88,0.75,0.5,0.63,0.63,0.38,0.69,0.44
2009,0.63,0.56,0.44,0.25,0.65,0.75,0.81,0.06
2008,0.69,0.75,0.31,0.13,0.6,0.63,0.5,0.13
2007,1,0.63,0.69,0.25,0.5,0.5,0.44,0.19
2006,0.75,0.5,0.5,0.56,0.63,0.38,0.63,0.5
2005,0.63,0.69,0.75,0.63,0.38,0.56,0.19,0.38
2004,0.88,0.94,0.56,0.44,0.81,0.5,0.5,0.5
2003,0.88,0.38,0.31,0.81,0.75,0.56,0.5,0.75
2002,0.56,0.63,0.38,0.5,0.75,0.38,0.56,0.44
2001,0.69,0.81,0.38,0.38,0.69,0.31,0.44,0.88
2000,0.31,0.56,0.44,0.44,0.69,0.69,0.63,0.63
1999,0.5,0.38,0.88,0.56,0.31,0.63,0.19,0.81
1998,0.56,0.44,0.69,0.44,0.18,0.94,0.38,0.25
1997,0.63,0.69,0.69,0.81,0.4,0.56,0.38,0.31
1996,0.69,0.63,0.56,0.56,0.63,0.56,0.19,0.38
1995,0.38,0.69,0.25,0.81,0.63,0.5,0.44,0.44
1994,0.63,0.75,,0.56,0.44,0.63,0.44,0.25
1993,0.31,0.56,,0.69,0.5,0.56,0.5,0.31
1992,0.13,0.69,,0.63,0.69,0.69,0.75,0.38
1991,0.38,0.44,,0.63,0.63,0.5,0.69,0.19
1990,0.06,0.56,,0.69,0.63,0.38,0.5,0.31
1989,0.31,0.56,,0.53,0.69,0.63,0.56,0.69
1988,0.56,0.31,,0.25,0.63,0.69,0.63,0.63
1987,0.53,0.53,,0.25,0.44,0.53,0.8,0.4
1986,0.69,0.38,,0.63,0.33,0.56,0.44,0.63
1985,0.69,0.44,,0.38,0.41,0.44,0.31,0.69
1984,0.56,0.56,,0.5,0.4,0.19,0.44,0.63
1983,0.5,0.63,,0.38,0.31,0.5,0.5,0.56
1982,0.56,0.67,,0.33,0.33,0.56,0.44,0.22
1981,0.13,0.5,,0.56,0.63,0.44,0.25,0.38
1980,0.63,0.56,,0.5,0.75,0.56,0.06,0.69
1979,0.56,0.75,,0.44,0.69,0.44,0.5,0.56
1978,0.69,0.88,,0.25,0.56,0.5,0.44,0.75
1977,0.64,0.64,,0.14,0.36,0.64,0.21,0.71
1976,0.79,0.71,,0.36,0.29,0.79,0.29,0.71
1975,0.21,0.86,,0.36,0.29,0.86,0.14,0.86
1974,0.5,0.71,,0.36,0.47,0.71,0.36,0.71
1973,0.36,0.71,,0.58,0.36,0.86,0.36,0.86
1972,0.21,0.79,,0.5,0.14,0.5,0.14,0.43
1971,0.43,0.43,,0.77,0.43,0.79,0.29,0.57
1970,0.14,0.36,,0.54,0.21,0.86,0.14,0.64
1969,0.29,0.07,,0.69,0.31,0.86,0.36,0.79
1968,0.29,0.14,,0.86,0.13,0.57,0.29,0.71
1967,0.21,0.29,,0.64,0.46,0.21,0.21,0.79
1966,0.57,0.36,,0.85,0.64,0.29,,0.57
1965,0.29,0.14,,0.54,0.36,0.5,,0.29
1964,0.71,0.36,,0.44,0.38,0.57,,0.36
1963,0.5,0.5,,0.42,0.15,0.36,,0.36
1962,0.64,0.64,,0.69,0.23,0.14,,0.07
1961,0.64,0.43,,0.43,0.71,0.21,,0.29
1960,0.36,0.42,,0.57,0.83,,,0.33
